Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,3362606587,9969118.49,337.3023,337.3023,333.9293,9/5/2018
Watoto Fund,3361669298,9968331.04,337.2349,337.2349,333.8626,9/4/2018
Watoto Fund,3364949643,9979996.3,337.1694,337.1694,333.7977,9/3/2018
Watoto Fund,3350818510,9978819.69,335.7931,335.7931,332.4351,8/31/2018
Watoto Fund,3343576798,9959190.7,335.7278,335.7278,332.3705,8/30/2018
Watoto Fund,3342210035,9957060.44,335.6623,335.6623,332.3057,8/29/2018
Watoto Fund,3341188290,9955959.87,335.5968,335.5968,332.2408,8/28/2018
Watoto Fund,3339065322,9951487.24,335.5343,335.5343,332.179,8/27/2018
Watoto Fund,3337061871,9951487.24,335.333,335.333,331.9797,8/24/2018
Watoto Fund,3336204496,9950920.39,335.2659,335.2659,331.9133,8/23/2018
Watoto Fund,3332093592,9942636.96,335.1318,335.1318,331.7805,8/21/2018
Watoto Fund,3330788754,9940734.21,335.0647,335.0647,331.714,8/20/2018
Watoto Fund,3328726158,9940556.29,334.8632,334.8632,331.5145,8/17/2018
Watoto Fund,3352478533,9939488.76,337.2888,337.2888,333.9159,8/16/2018
Watoto Fund,3351812535,9939488.76,337.2218,337.2218,333.8496,8/15/2018
Watoto Fund,3350430492,9937365.06,337.1548,337.1548,333.7833,8/14/2018
Watoto Fund,3350467175,9939453.56,337.0877,337.0877,333.7168,8/13/2018
Watoto Fund,3347815146,9937520.82,336.8864,336.8864,333.5175,8/10/2018
Watoto Fund,3342565094,9935410.21,336.4295,336.4295,333.0652,8/9/2018
Watoto Fund,3339954823,9931142.86,336.3112,336.3112,332.9481,8/7/2018
Watoto Fund,3344275906,9945772.87,336.251,336.251,332.8885,8/6/2018
Watoto Fund,3342434796,9945564.55,336.0729,336.0729,332.7122,8/3/2018
Watoto Fund,3341624799,9944909.79,336.0136,336.0136,332.6534,8/2/2018
Watoto Fund,3340371716,9942936.24,335.9543,335.9543,332.5947,8/1/2018
Watoto Fund,3340013174,9941864.44,335.902,335.902,332.543,7/31/2018
Watoto Fund,3338071584,9939184.05,335.8497,335.8497,332.4912,7/30/2018
Watoto Fund,3336561258,9939344.67,335.6923,335.6923,332.3354,7/27/2018
Watoto Fund,3334920818,9936006.65,335.64,335.64,332.2836,7/26/2018
Watoto Fund,3332300732,9929748.97,335.5876,335.5876,332.2317,7/25/2018
Watoto Fund,3331302646,9928676.02,335.5234,335.5234,332.1681,7/24/2018
Watoto Fund,3330314897,9927632.68,335.4591,335.4591,332.1045,7/23/2018
Watoto Fund,3327413499,9923204.02,335.3164,335.3164,331.9633,7/20/2018
Watoto Fund,3326581923,9922640.05,335.2517,335.2517,331.8992,7/19/2018
Watoto Fund,3325933862,9922610.2,335.1874,335.1874,331.8355,7/18/2018
Watoto Fund,3325248757,9922469.92,335.1231,335.1231,331.7719,7/17/2018
Watoto Fund,3324470722,9922052.41,335.0588,335.0588,331.7082,7/16/2018
Watoto Fund,3324375271,9927505.97,334.8651,334.8651,331.5164,7/13/2018
