Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,2.11733E+11,396375454.3,534.1734,534.1734,528.8316,12/6/2017
Umoja Fund,2.11754E+11,396456963.7,534.1169,534.1169,528.7757,12/5/2017
Umoja Fund,2.11754E+11,396456963.7,534.1169,534.1169,528.7757,12/5/2017
Umoja Fund,2.11691E+11,396462288,533.9487,533.9487,528.6093,12/4/2017
Umoja Fund,2.11691E+11,396462288,533.9487,533.9487,528.6093,12/4/2017
Umoja Fund,2.11522E+11,396473498.3,533.5095,533.5095,528.1744,11/30/2017
Umoja Fund,2.11522E+11,396473498.3,533.5095,533.5095,528.1744,11/30/2017
Umoja Fund,2.11774E+11,396456824.8,534.1659,534.1659,528.8243,11/29/2017
Umoja Fund,2.11774E+11,396456824.8,534.1659,534.1659,528.8243,11/29/2017
Umoja Fund,2.11891E+11,396840609.6,533.9461,533.9461,528.6066,11/28/2017
Umoja Fund,2.11891E+11,396840609.6,533.9461,533.9461,528.6066,11/28/2017
Umoja Fund,2.11775E+11,396786782,533.724,533.724,528.3867,11/27/2017
Umoja Fund,2.11775E+11,396786782,533.724,533.724,528.3867,11/27/2017
Umoja Fund,2.1163E+11,396771808.8,533.3802,533.3802,528.0464,11/24/2017
Umoja Fund,2.1163E+11,396771808.8,533.3802,533.3802,528.0464,11/24/2017
Umoja Fund,2.1158E+11,396763065.5,533.2655,533.2655,527.9328,11/23/2017
Umoja Fund,2.1158E+11,396763065.5,533.2655,533.2655,527.9328,11/23/2017
Umoja Fund,2.11513E+11,396723104.9,533.1507,533.1507,527.8192,11/22/2017
Umoja Fund,2.11513E+11,396723104.9,533.1507,533.1507,527.8192,11/22/2017
Umoja Fund,2.11603E+11,396816048.2,533.2521,533.2521,527.9196,11/21/2017
Umoja Fund,2.11603E+11,396816048.2,533.2521,533.2521,527.9196,11/21/2017
Umoja Fund,2.11549E+11,396799573.1,533.1379,533.1379,527.8066,11/20/2017
